KS,I,I,S,I,I,I,S 
name,version,size,path,type,loadtype,whenload,assetNameInBundle 
update,0,0,res/update,9,99,0,update
AssetBundleManifest,0,0,update,10,3,99,AssetBundleManifest
lua.unity3d,0,0,lua/lua.unity3d,9,99,0,lua.unity3d
lua_3rd_cjson.unity3d,0,0,lua/lua_3rd_cjson.unity3d,9,99,0,lua_3rd_cjson.unity3d
lua_3rd_luabitop.unity3d,0,0,lua/lua_3rd_luabitop.unity3d,9,99,0,lua_3rd_luabitop.unity3d
lua_3rd_pbc.unity3d,0,0,lua/lua_3rd_pbc.unity3d,9,99,0,lua_3rd_pbc.unity3d
lua_3rd_pblua.unity3d,0,0,lua/lua_3rd_pblua.unity3d,9,99,0,lua_3rd_pblua.unity3d
lua_3rd_sproto.unity3d,0,0,lua/lua_3rd_sproto.unity3d,9,99,0,lua_3rd_sproto.unity3d
lua_base.unity3d,0,0,lua/lua_base.unity3d,9,99,0,lua_base.unity3d
lua_cjson.unity3d,0,0,lua/lua_cjson.unity3d,9,99,0,lua_cjson.unity3d
lua_common.unity3d,0,0,lua/lua_common.unity3d,9,99,0,lua_common.unity3d
lua_controller.unity3d,0,0,lua/lua_controller.unity3d,9,99,0,lua_controller.unity3d
lua_logic.unity3d,0,0,lua/lua_logic.unity3d,9,99,0,lua_logic.unity3d
lua_lpeg.unity3d,0,0,lua/lua_lpeg.unity3d,9,99,0,lua_lpeg.unity3d
lua_misc.unity3d,0,0,lua/lua_misc.unity3d,9,99,0,lua_misc.unity3d
lua_proto.unity3d,0,0,lua/lua_proto.unity3d,9,99,0,lua_proto.unity3d
lua_protobuf.unity3d,0,0,lua/lua_protobuf.unity3d,9,99,0,lua_protobuf.unity3d
lua_socket.unity3d,0,0,lua/lua_socket.unity3d,9,99,0,lua_socket.unity3d
lua_system.unity3d,0,0,lua/lua_system.unity3d,9,99,0,lua_system.unity3d
lua_system_reflection.unity3d,0,0,lua/lua_system_reflection.unity3d,9,99,0,lua_system_reflection.unity3d
lua_table.unity3d,0,0,lua/lua_table.unity3d,9,99,0,lua_table.unity3d
lua_unityengine.unity3d,0,0,lua/lua_unityengine.unity3d,9,99,0,lua_unityengine.unity3d
lua_view.unity3d,0,0,lua/lua_view.unity3d,9,99,0,lua_view.unity3d
20170503_patch1.bank,0,0,20170503_patch1.bank,6,99,0,20170503_patch1.bank
20170504_patch1.bank,0,0,20170504_patch1.bank,6,99,0,20170504_patch1.bank
Ambient.bank,0,0,Ambient.bank,6,99,0,Ambient.bank
Amb_battle_plain.bank,0,0,Amb_battle_plain.bank,6,99,0,Amb_battle_plain.bank
Footstep.bank,0,0,Footstep.bank,6,99,0,Footstep.bank
Impact.bank,0,0,Impact.bank,6,99,0,Impact.bank
m4_fire.bank,0,0,m4_fire.bank,6,99,0,m4_fire.bank
