KN,S,AN
ID,Name,TaskChain
1,新手任务,10001;20001;30001;40001
2,新手任务,10001;10006
3,新手任务,10001;10007
4,新手任务,10001;10008
5,新手任务,10001;10009
6,新手任务,10001;10010
7,新手任务,10001;10011
8,新手任务,10001;10012
9,新手任务,10001;10013
10,新手任务,10001;10014
11,新手任务,10001;10015
12,新手任务,10001;10016
13,新手任务,10001;10017
14,新手任务,10001;10018
15,新手任务,10001;10019
16,新手任务,10001;10020
17,新手任务,10001;10021
18,新手任务,10001;10022
19,新手任务,10001;10023
20,新手任务,10001;10024
21,新手任务,10001;10025
22,新手任务,10001;10026
23,新手任务,10001;10027
24,新手任务,10001;10028
25,新手任务,10001;10029
26,新手任务,10001;10030
27,新手任务,10001;10031
28,新手任务,10001;10032
29,新手任务,10001;10033
30,新手任务,10001;10034
31,新手任务,10001;10035
32,新手任务,10001;10036
33,新手任务,10001;10037
34,新手任务,10001;10038
35,新手任务,10001;10039
36,新手任务,10001;10040
37,新手任务,10001;10041
38,新手任务,10001;10042
39,新手任务,10001;10043
40,新手任务,10001;10044
41,新手任务,10001;10045
42,新手任务,10001;10046
43,新手任务,10001;10047
44,新手任务,10001;10048
45,新手任务,10001;10049
46,新手任务,10001;10050
47,新手任务,10001;10051
48,新手任务,10001;10052
49,新手任务,10001;10053
50,新手任务,10001;10054
51,新手任务,10001;10055
52,新手任务,10001;10056
53,新手任务,10001;10057
